address,latitude,longitude,number_of_raids,proportion_no_action,raid_dates_and_resolutions
3155 BROADWAY Manhattan,40.81471505,-73.95951205,1,1.0,"[('2013-11-15', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
3160 FULTON STREET Brooklyn,40.68173331,-73.87826442,4,0.75,"[('2012-12-21', 'MARCH: NO ENFORCEMENT ACTION TAKEN'), ('2016-03-11', 'MARCH: FAILURE TO MAINTAIN BLDG/ECB NOV ISSUED'), ('2013-09-07', 'MARCH: NO ENFORCEMENT ACTION TAKEN'), ('2017-02-04', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
3162 FULTON STREET Brooklyn,40.68174783,-73.87819508,9,0.5555555555555556,"[('2015-08-15', 'MARCH: NO ENFORCEMENT ACTION TAKEN'), ('2014-01-31', 'MARCH: NO ENFORCEMENT ACTION TAKEN'), ('2016-03-11', 'MARCH: WORK WITHOUT PERMIT/ECB NOV ISSUED'), ('2015-03-15', 'MARCH: NO ENFORCEMENT ACTION TAKEN'), ('2017-02-04', 'MARCH: NO ENFORCEMENT ACTION TAKEN'), ('2012-12-21', 'MARCH: NO ENFORCEMENT ACTION TAKEN'), ('2016-03-11', 'MARCH: WORK WITHOUT PERMIT/ECB NOV ISSUED'), ('2016-03-11', 'MARCH: WORK WITHOUT PERMIT/ECB NOV ISSUED'), ('2016-03-11', 'MARCH: WORK WITHOUT PERMIT/ECB NOV ISSUED')]"
3168 EAST TREMONT AVENUE Bronx,40.83708459,-73.83449384,7,0.14285714285714285,"[('2016-05-15', 'MARCH: NO PA PERMIT/ECB NOV ISSUED'), ('2013-03-08', 'MARCH: NO PA PERMIT/ECB NOV ISSUED'), ('2016-05-15', 'MARCH: NO PA PERMIT/ECB NOV ISSUED'), ('2016-05-15', 'MARCH: NO PA PERMIT/ECB NOV ISSUED'), ('2013-03-08', 'MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED'), ('2016-05-15', 'MARCH: NO PA PERMIT/ECB NOV ISSUED'), ('2015-12-04', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
3175 FULTON STREET Brooklyn,40.6823365,-73.87755515,5,0.0,"[('2014-01-31', 'MARCH: CONTRARY TO APPROVED PLANS/ECB NOV ISSUED'), ('2013-09-07', 'MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED'), ('2013-09-07', 'MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED'), ('2013-03-30', 'MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED'), ('2012-07-06', 'MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED')]"
32 CLIFF STREET Manhattan,40.7081377,-74.00494528,2,1.0,"[('2013-11-10', 'MARCH: NO ENFORCEMENT ACTION TAKEN'), ('2017-02-10', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
32 MULBERRY STREET Manhattan,40.71460507,-73.99938523,2,1.0,"[('2014-01-03', 'MARCH: NO ENFORCEMENT ACTION TAKEN'), ('2014-04-27', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
32-03 BROADWAY Queens,40.76170023,-73.92425797,2,0.5,"[('2017-01-21', 'MARCH: NO ENFORCEMENT ACTION TAKEN'), ('2014-03-07', 'MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED')]"
32-10 37 AVENUE Queens,40.75414433,-73.93015340000001,4,1.0,"[('2016-05-21', 'MARCH: NO ENFORCEMENT ACTION TAKEN'), ('2016-10-08', 'MARCH: NO ENFORCEMENT ACTION TAKEN'), ('2016-06-24', 'MARCH: NO ENFORCEMENT ACTION TAKEN'), ('2016-03-04', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
32-17 COLLEGE POINT BOULEVARD Queens,40.76591104,-73.83686738,1,1.0,"[('2016-09-17', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
32-17 STEINWAY STREET Queens,40.75840842,-73.9190986,1,1.0,"[('2013-05-18', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
32-72 STEINWAY STREET Queens,40.75731477,-73.92070304,7,0.42857142857142855,"[('2014-07-14', 'MARCH: NO ENFORCEMENT ACTION TAKEN'), ('2015-04-19', 'MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED'), ('2014-06-06', 'MARCH: NO ENFORCEMENT ACTION TAKEN'), ('2015-04-19', 'MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED'), ('2014-06-07', 'MARCH: NO ENFORCEMENT ACTION TAKEN'), ('2015-04-19', 'MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED'), ('2015-04-19', 'MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED')]"
3202 EMMONS AVENUE Brooklyn,40.58375523,-73.93271866,1,1.0,"[('2014-06-06', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
321 1 AVENUE Manhattan,40.73437177,-73.98073492,1,1.0,"[('2016-06-11', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
321 FIRST AVENUE Manhattan,40.73437177,-73.98073492,1,1.0,"[('2015-12-05', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
321 LENOX AVENUE Manhattan,40.80873525,-73.94529094,1,0.0,"[('2013-01-05', 'MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED')]"
322 EAST 14 STREET Manhattan,40.73170588,-73.98416537,2,0.5,"[('2014-04-11', 'MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED'), ('2012-08-18', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
3220 FULTON STREET Brooklyn,40.68226856,-73.8760979,2,0.0,"[('2012-07-06', 'VACATE'), ('2012-07-06', 'VACATE')]"
3229 WESTCHESTER AVENUE Bronx,40.85227067,-73.82923285,1,1.0,"[('2015-12-20', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
323 COLUMBIA STREET Brooklyn,40.6811084,-74.00427789,2,1.0,"[('2015-07-18', 'MARCH: NO ENFORCEMENT ACTION TAKEN'), ('2014-03-28', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
3233 EAST TREMONT AVENUE Bronx,40.83580937,-73.83273575,1,1.0,"[('2017-06-25', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
325 FRANKLIN AVENUE Brooklyn,40.68830382,-73.95682652,1,0.0,"[('2012-10-20', 'MARCH: NO PA PERMIT/ECB NOV ISSUED')]"
33-02 QUEENS BOULEVARD Queens,40.74421078,-73.93130027,2,1.0,"[('2015-12-18', 'MARCH: NO ENFORCEMENT ACTION TAKEN'), ('2013-03-01', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
33-04 BROADWAY Queens,40.76093594,-73.92377148,2,0.0,"[('2013-02-02', 'MARCH: FAILURE TO MAINTAIN BLDG/ECB NOV ISSUED'), ('2013-02-01', 'MARCH: NO PA PERMIT/ECB NOV ISSUED')]"
33-12 QUEENS BOULEVARD Queens,40.74421078,-73.93130027,1,1.0,"[('2015-03-06', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
3304 BROADWAY Queens,40.76093594,-73.92377148,1,1.0,"[('2013-05-18', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
332 9 AVENUE Manhattan,40.75022994,-73.99826618,1,1.0,"[('2013-04-05', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
3320 MERRITT AVENUE Bronx,40.88164037,-73.82614058,1,1.0,"[('2012-07-21', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
334 EAST GUNHILL ROAD Bronx,40.87854535,-73.87328267,1,1.0,"[('2015-12-11', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
334 MENAHAN STREET Brooklyn,40.70094763,-73.91415908,1,0.0,"[('2012-06-08', 'MARCH: EXIT PASSAGE OBSTRUCTED/ECB NOV ISSUED')]"
3363 EAST TREMONT AVENUE Bronx,40.83452813,-73.82899462,5,0.0,"[('2015-12-20', 'MARCH: NO PA PERMIT/ECB NOV ISSUED'), ('2015-12-05', 'MARCH: NO PA PERMIT/ECB NOV ISSUED'), ('2015-12-05', 'MARCH: NO PA PERMIT/ECB NOV ISSUED'), ('2015-12-05', 'MARCH: NO PA PERMIT/ECB NOV ISSUED'), ('2015-12-05', 'MARCH: NO PA PERMIT/ECB NOV ISSUED')]"
337 EAST 48 STREET Brooklyn,40.65396228,-73.93238524,1,1.0,"[('2014-07-19', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
3379 BROADWAY Manhattan,40.82138863,-73.95469762,4,1.0,"[('2014-06-06', 'MARCH: NO ENFORCEMENT ACTION TAKEN'), ('2013-06-01', 'MARCH: NO ENFORCEMENT ACTION TAKEN'), ('2014-10-03', 'MARCH: NO ENFORCEMENT ACTION TAKEN'), ('2013-12-13', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
3392 EAST TREMONT AVENUE Bronx,40.8334186,-73.82883301,2,0.5,"[('2013-03-08', 'MARCH: NO ENFORCEMENT ACTION TAKEN'), ('2015-06-04', 'PLEASE SEE COMPLAINT NUMBER')]"
3398 BOSTON ROAD Bronx,40.87508178,-73.850776,3,0.3333333333333333,"[('2013-02-22', 'MARCH: WORK WITHOUT PERMIT/ECB NOV ISSUED'), ('2013-05-17', 'MARCH: NO ENFORCEMENT ACTION TAKEN'), ('2013-02-22', 'MARCH: WORK WITHOUT PERMIT/ECB NOV ISSUED')]"
34 VANDAM STREET Manhattan,40.72601441,-74.00531978,1,1.0,"[('2012-09-29', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
34 WEST 32 STREET Manhattan,40.74769039,-73.98734862,1,0.0,"[('2013-03-07', 'MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED')]"
34-19 31 STREET Queens,40.7590054,-73.92741681,1,1.0,"[('2016-06-25', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
340 WALTON AVENUE Bronx,40.81521955,-73.92938185,1,0.0,"[('2016-09-17', 'MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED')]"
3405 3 AVENUE Bronx,40.82856931,-73.90742435,3,0.6666666666666666,"[('2016-04-30', 'MARCH: NO ENFORCEMENT ACTION TAKEN'), ('2013-08-10', 'MARCH: NO ENFORCEMENT ACTION TAKEN'), ('2012-10-27', 'MARCH: CONTRARY TO APPROVED PLANS/ECB NOV ISSUED')]"
341 AVENUE U Brooklyn,40.59737881,-73.97180655,1,1.0,"[('2012-07-20', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
341 LENOX AVENUE Manhattan,40.80937499,-73.94481801,1,1.0,"[('2016-04-10', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
341 ST NICHOLAS AVENUE Queens,40.70098660000001,-73.90916909,4,0.25,"[('2015-04-26', 'MARCH: NO ENFORCEMENT ACTION TAKEN'), ('2013-09-22', 'MARCH: NO PA PERMIT/ECB NOV ISSUED'), ('2013-09-22', 'MARCH: NO PA PERMIT/ECB NOV ISSUED'), ('2015-04-22', 'PLEASE SEE COMPLAINT NUMBER')]"
3411 CHURCH AVENUE Brooklyn,40.65128189,-73.94522678,4,0.75,"[('2013-09-29', 'MARCH: NO ENFORCEMENT ACTION TAKEN'), ('2014-05-18', 'MARCH: NO ENFORCEMENT ACTION TAKEN'), ('2015-01-30', 'MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED'), ('2014-01-17', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
3412 FULTON STREET Brooklyn,40.68413623,-73.86971448,1,1.0,"[('2013-09-07', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
3419 STEINWAY STREET Queens,40.756239799999996,-73.92085776,1,0.0,"[('2017-06-09', 'MARCH: CONTRARY TO APPROVED PLANS/ECB NOV ISSUED')]"
3424 BROADWAY Manhattan,40.82266548,-73.9526985,1,1.0,"[('2013-06-01', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
3441 JEROME AVENUE Bronx,40.88134421,-73.8832905,1,1.0,"[('2015-12-11', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
3454 BROADWAY Manhattan,40.82355831,-73.95209896,2,1.0,"[('2013-12-13', 'MARCH: NO ENFORCEMENT ACTION TAKEN'), ('2014-10-04', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
347 BROADWAY Brooklyn,40.70794445,-73.95580413,4,1.0,"[('2015-09-18', 'MARCH: NO ENFORCEMENT ACTION TAKEN'), ('2016-03-12', 'MARCH: NO ENFORCEMENT ACTION TAKEN'), ('2015-03-29', 'MARCH: NO ENFORCEMENT ACTION TAKEN'), ('2012-10-12', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
348 WEST 52 STREET Manhattan,40.76403551,-73.98695105,1,1.0,"[('2014-05-03', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
3489 JEROME AVENUE Bronx,40.88201224,-73.8825143,1,0.0,"[('2017-06-16', 'MARCH: FAILURE TO MAINTAIN BLDG/ECB NOV ISSUED')]"
349 BROADWAY Brooklyn,40.70792236,-73.95574167,1,1.0,"[('2016-10-01', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
35-35 STEINWAY STREET Queens,40.75411186,-73.92258029999999,4,0.0,"[('2014-12-13', 'MARCH: NO PA PERMIT/ECB NOV ISSUED'), ('2014-12-13', 'MARCH: NO PA PERMIT/ECB NOV ISSUED'), ('2014-06-08', 'MARCH: CONTRARY TO APPROVED PLANS/ECB NOV ISSUED'), ('2013-02-02', 'MARCH: NO PA PERMIT/ECB NOV ISSUED')]"
35-66 95 STREET Queens,40.75124676,-73.87258940000001,2,0.0,"[('2013-10-06', 'MARCH: WORK WITHOUT PERMIT/ECB NOV ISSUED'), ('2013-10-06', 'MARCH: WORK WITHOUT PERMIT/ECB NOV ISSUED')]"
350 5 AVENUE Brooklyn,40.67237714,-73.98504506,1,1.0,"[('2012-09-08', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
350 EAST 85 STREET Manhattan,40.77622139,-73.95051783,1,0.0,"[('2012-09-22', 'MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED')]"
350 MESEROLE STREET Brooklyn,40.70860508,-73.93436386,1,1.0,"[('2017-03-11', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
350 PORT RICHMOND AVENUE Staten Island,40.63331268,-74.13692795,1,0.0,"[('2013-03-29', 'MARCH: FAILURE TO MAINTAIN BLDG/ECB NOV ISSUED')]"
351 WEST 16 STREET Manhattan,40.74229485,-74.00342683,1,1.0,"[('2014-02-07', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
3534 BROADWAY Manhattan,40.82602927,-73.95023369,1,1.0,"[('2013-12-13', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
354 BOWERY Manhattan,40.72689606,-73.99201823,1,1.0,"[('2012-12-15', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
354 MELROSE STREET Brooklyn,40.70384149,-73.92770440000001,4,0.0,"[('2015-10-24', 'MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED'), ('2015-10-24', 'MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED'), ('2015-10-24', 'MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED'), ('2015-10-24', 'MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED')]"
354 PARK AVENUE SOUTH Manhattan,40.74209739,-73.98558746,1,0.0,"[('2014-01-19', 'MARCH: NO PA PERMIT/ECB NOV ISSUED')]"
355 WEST 52 STREET Manhattan,40.76449473,-73.98687082,1,1.0,"[('2014-05-03', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
356 BOWERY Manhattan,40.726940500000005,-73.99199299,1,1.0,"[('2012-12-15', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
357 WEST 16 STREET Manhattan,40.74220713,-74.00367538,1,0.0,"[('2013-09-28', 'MARCH: EXIT PASSAGE OBSTRUCTED/ECB NOV ISSUED')]"
3575 VICTORY BOULEVARD Staten Island,40.60146102,-74.17740484,4,0.25,"[('2013-12-08', 'MARCH: WORK WITHOUT PERMIT/ECB NOV ISSUED'), ('2014-08-15', 'MARCH: NO ENFORCEMENT ACTION TAKEN'), ('2013-04-12', 'MARCH: NO PA PERMIT/ECB NOV ISSUED'), ('2015-07-31', 'MARCH: CONTRARY TO APPROVED PLANS/ECB NOV ISSUED')]"
36 EAST 58 STREET Manhattan,40.76271721,-73.97168301,1,1.0,"[('2013-04-19', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
36-04 34 STREET Queens,40.75540992,-73.92773758,5,0.2,"[('2015-04-19', 'MARCH: NO ENFORCEMENT ACTION TAKEN'), ('2016-03-10', 'MARCH: CONTRARY TO APPROVED PLANS/ECB NOV ISSUED'), ('2016-03-10', 'MARCH: CONTRARY TO APPROVED PLANS/ECB NOV ISSUED'), ('2016-03-10', 'MARCH: CONTRARY TO APPROVED PLANS/ECB NOV ISSUED'), ('2016-03-10', 'MARCH: CONTRARY TO APPROVED PLANS/ECB NOV ISSUED')]"
36-11 30 AVENUE Queens,40.76502271,-73.91678549,2,0.5,"[('2012-06-22', 'MARCH: NO ENFORCEMENT ACTION TAKEN'), ('2014-06-08', 'MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED')]"
36-13 164 STREET Queens,40.76227523,-73.80154847,2,0.0,"[('2012-09-29', 'MARCH: FAILURE TO MAINTAIN BLDG/ECB NOV ISSUED'), ('2012-09-29', 'MARCH: FAILURE TO MAINTAIN BLDG/ECB NOV ISSUED')]"
36-14 31 STREET Queens,40.75634214,-73.93036431,7,0.0,"[('2016-06-25', 'MARCH: EXIT PASSAGE OBSTRUCTED/ECB NOV ISSUED'), ('2016-06-25', 'MARCH: EXIT PASSAGE OBSTRUCTED/ECB NOV ISSUED'), ('2016-06-25', 'MARCH: EXIT PASSAGE OBSTRUCTED/ECB NOV ISSUED'), ('2016-06-25', 'MARCH: EXIT PASSAGE OBSTRUCTED/ECB NOV ISSUED'), ('2016-06-25', 'MARCH: EXIT PASSAGE OBSTRUCTED/ECB NOV ISSUED'), ('2016-05-21', 'MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED'), ('2016-06-25', 'MARCH: EXIT PASSAGE OBSTRUCTED/ECB NOV ISSUED')]"
36-21 REVIEW AVENUE Queens,40.7340143,-73.93732088,2,0.0,"[('2013-03-01', 'MARCH: NO PA PERMIT/ECB NOV ISSUED'), ('2013-03-01', 'MARCH: NO PA PERMIT/ECB NOV ISSUED')]"
36-21 STEINWAY STREET Queens,40.75286365,-73.92368587,1,1.0,"[('2015-10-18', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
360 CENTRAL AVENUE Brooklyn,40.69443813,-73.91924961,1,1.0,"[('2013-03-15', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
360 PARK AVENUE Manhattan,40.75890029,-73.97321568,1,0.0,"[('2012-12-02', 'MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED')]"
360 PARK AVENUE SOUTH Manhattan,40.74209739,-73.98558746,5,0.2,"[('2016-06-11', 'MARCH: NO ENFORCEMENT ACTION TAKEN'), ('2017-06-10', 'MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED'), ('2014-01-19', 'MARCH: EXIT PASSAGE OBSTRUCTED/ECB NOV ISSUED'), ('2014-01-19', 'MARCH: EXIT PASSAGE OBSTRUCTED/ECB NOV ISSUED'), ('2015-12-06', 'MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED')]"
360 TENEYCK STREET Brooklyn,40.71166213,-73.9354554,4,0.0,"[('2013-12-14', 'VACATE'), ('2013-12-14', 'VACATE'), ('2014-03-13', 'VACATE'), ('2014-03-13', 'VACATE')]"
3601 BOSTON ROAD Bronx,40.8794806,-73.8431883,9,0.4444444444444444,"[('2013-02-23', 'MARCH: NO PA PERMIT/ECB NOV ISSUED'), ('2013-05-17', 'MARCH: NO ENFORCEMENT ACTION TAKEN'), ('2016-10-01', 'MARCH: NO ENFORCEMENT ACTION TAKEN'), ('2013-11-22', 'MARCH: NO ENFORCEMENT ACTION TAKEN'), ('2017-07-14', 'MARCH: FAILURE TO MAINTAIN BLDG/ECB NOV ISSUED'), ('2014-03-28', 'MARCH: NO ENFORCEMENT ACTION TAKEN'), ('2017-07-14', 'MARCH: FAILURE TO MAINTAIN BLDG/ECB NOV ISSUED'), ('2017-07-14', 'MARCH: FAILURE TO MAINTAIN BLDG/ECB NOV ISSUED'), ('2017-07-14', 'MARCH: FAILURE TO MAINTAIN BLDG/ECB NOV ISSUED')]"
3601 EAST TREMONT AVENUE Bronx,40.82903851,-73.82428593,1,1.0,"[('2015-12-04', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
3605 CHURCH AVENUE Brooklyn,40.65134367,-73.94349164,12,0.16666666666666666,"[('2016-02-20', 'MARCH: NO ENFORCEMENT ACTION TAKEN'), ('2015-08-30', 'MARCH: CONTRARY TO APPROVED PLANS/ECB NOV ISSUED'), ('2015-08-30', 'MARCH: CONTRARY TO APPROVED PLANS/ECB NOV ISSUED'), ('2015-08-30', 'MARCH: CONTRARY TO APPROVED PLANS/ECB NOV ISSUED'), ('2015-08-30', 'MARCH: CONTRARY TO APPROVED PLANS/ECB NOV ISSUED'), ('2015-08-30', 'MARCH: CONTRARY TO APPROVED PLANS/ECB NOV ISSUED'), ('2015-08-30', 'MARCH: CONTRARY TO APPROVED PLANS/ECB NOV ISSUED'), ('2015-08-30', 'MARCH: CONTRARY TO APPROVED PLANS/ECB NOV ISSUED'), ('2015-01-30', 'MARCH: NO PA PERMIT/ECB NOV ISSUED'), ('2015-08-30', 'MARCH: CONTRARY TO APPROVED PLANS/ECB NOV ISSUED'), ('2015-08-30', 'MARCH: CONTRARY TO APPROVED PLANS/ECB NOV ISSUED'), ('2014-05-18', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
3607 EAST TREMONT AVENUE Bronx,40.82903851,-73.82428593,1,1.0,"[('2015-12-20', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
363 GREENWICH STREET Manhattan,40.71915589,-74.00997089,1,0.0,"[('2013-02-22', 'MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED')]"
3648 BAILEY AVENUE Bronx,40.88370373,-73.89788149,1,1.0,"[('2012-07-28', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
3671 BROADWAY Manhattan,40.83085399,-73.94782249,3,1.0,"[('2014-10-03', 'MARCH: NO ENFORCEMENT ACTION TAKEN'), ('2013-12-13', 'MARCH: NO ENFORCEMENT ACTION TAKEN'), ('2013-06-01', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
369 36 STREET Brooklyn,40.65456543,-74.00461477,1,1.0,"[('2013-03-23', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
369 WEST 46 STREET Manhattan,40.76101729,-73.99016116,1,1.0,"[('2014-11-09', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
37 ST JAMES PLACE Manhattan,40.71225278,-73.99896969,1,1.0,"[('2014-01-03', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
37-11 57 STREET Queens,40.74990579999999,-73.90514646,1,1.0,"[('2013-10-18', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
37-64 90 STREET Queens,40.74873916,-73.87682807,1,1.0,"[('2015-06-06', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
37-82 103 STREET Queens,40.75113505,-73.86360745,1,0.0,"[('2013-10-05', 'MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED')]"
3758 EAST TREMONT AVENUE Bronx,40.825880299999994,-73.82168519,2,0.5,"[('2015-06-04', 'MARCH: NO ENFORCEMENT ACTION TAKEN'), ('2016-05-14', 'MARCH: EXIT PASSAGE OBSTRUCTED/ECB NOV ISSUED')]"
375A 5 AVENUE Brooklyn,40.67101777,-73.98439309,1,0.0,"[('2012-07-14', 'MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED')]"
377 EAST 98 STREET Brooklyn,40.65908484,-73.91603956,3,1.0,"[('2013-03-29', 'MARCH: NO ENFORCEMENT ACTION TAKEN'), ('2012-10-12', 'MARCH: NO ENFORCEMENT ACTION TAKEN'), ('2014-01-10', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
3785 VICTORY BOULEVARD Staten Island,40.59756434,-74.18217106,1,1.0,"[('2013-04-12', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
38-10 DITMARS BOULEVARD Queens,,,1,1.0,"[('2015-10-17', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
38-12 65 STREET Queens,40.74647352,-73.89897457,1,1.0,"[('2013-03-01', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
38-19 69 STREET Queens,40.74663433,-73.89609168,1,1.0,"[('2016-10-15', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
38-22 108 STREET Queens,40.7516123,-73.85956289,2,0.0,"[('2017-04-29', 'MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED'), ('2012-12-01', 'MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED')]"
380 COLUMBUS AVENUE Manhattan,,,1,0.0,"[('2013-10-18', 'MARCH: NO PA PERMIT/ECB NOV ISSUED')]"
3801 10 AVENUE Manhattan,40.86223807,-73.92016551,1,0.0,"[('2013-01-11', 'MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED')]"
3804 BROADWAY Queens,40.75905005,-73.91975798,1,1.0,"[('2017-06-09', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
3805 10 AVENUE Manhattan,40.86223807,-73.92016551,1,1.0,"[('2013-01-12', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
3813 BOSTON ROAD Bronx,40.8818248,-73.8382656,3,0.3333333333333333,"[('2014-03-28', 'MARCH: NO ENFORCEMENT ACTION TAKEN'), ('2013-11-22', 'MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED'), ('2013-02-22', 'MARCH: NO PA PERMIT/ECB NOV ISSUED')]"
382 FOREST AVENUE Staten Island,40.63076392,-74.10203317,1,0.0,"[('2014-01-12', 'MARCH: NO PA PERMIT/ECB NOV ISSUED')]"
383 3 AVENUE Manhattan,40.74152468,-73.98083825,1,1.0,"[('2016-12-17', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
